RequestID,RequestFromEmpID,Brand,RequestCode,ProjectID,RequestType,Module,AllocateHours,ScopeOfWork,ProjectStatus,RequestStatus,RequestDate,SerialNo,ReqCreateDate,ReqRecvDate,EstimateHours,CRNRStatus,WorkStatus,CRNRStatusUpdatedBY,RaiseInvoice,WorkActionDate,Worktype,InitiatedBy,PONumber,POStatus
121,1596,ICICI Bank,1417_CR_0030,1417,CR,ww,,ss,,,2024-04-29 11:13:13.507,30,2024-04-29 11:13:13.507,2024-04-29,66,Rejected,Pending,1634.0,,2024-05-13 10:36:35.963,,,,
122,1596,ICICI Bank,1417_CR_0031,1417,CR,wwww,30,www,,,2024-04-29 11:13:28.610,31,2024-04-29 11:13:28.610,2024-04-29,11,Approved,Done,1634.0,,2024-05-13 10:36:35.963,,,,
123,1596,ICICI Bank,1417_CR_0032,1417,CR,wwwwww,,h,,,2024-04-29 11:16:16.170,32,2024-04-29 11:16:16.170,2024-04-29,10000,Pending with Business,Pending,,,2024-05-13 10:36:35.963,,,,
124,1596,ICICI Bank,1417_NR_0013,1417,NR,asa,30,y,,,2024-04-29 11:16:40.273,13,2024-04-29 11:16:40.273,2024-04-29,4000,Approved,In Progress,1634.0,,2024-05-13 10:36:35.963,,,,
125,1596,ICICI Bank,1417_CR_0033,1417,CR,s,,d,,,2024-04-29 11:17:35.363,33,2024-04-29 11:17:35.363,2024-04-29,1,Rejected,Pending,1634.0,,2024-05-13 10:36:35.963,,,,
126,1596,ICICI Bank,1417_CR_0034,1417,CR,r,,ww,,,2024-04-29 11:18:31.373,34,2024-04-29 11:18:31.373,2024-04-29,22,Pending with Business,Pending,,,2024-05-13 10:36:35.963,,,,
127,1596,ICICI Bank,1417_CR_0035,1417,CR,s,25,s,,,2024-04-29 11:25:28.400,35,2024-04-29 11:25:28.400,2024-04-29,6,Approved,In Progress,1634.0,,2024-05-13 10:36:35.963,,,,
128,1596,ICICI Bank,1417_CR_0036,1417,CR,ee,,er,,,2024-04-29 11:29:13.530,36,2024-04-29 11:29:13.530,2024-04-29,3,Pending with Business,Pending,,,2024-05-13 10:36:35.963,,,,
129,1596,ICICI Bank,2499_CR_0005,2499,CR,s,12,s,,,2024-04-29 11:32:49.123,5,2024-04-29 11:32:49.123,2024-04-29,1,Approved,You have to start,1634.0,,2025-03-05 15:22:06.250,,,,
130,1596,ICICI Bank,2633_NR_0003,2633,NR,testtt,,qq,,,2024-04-29 11:36:42.473,3,2024-04-29 11:36:42.473,2024-04-29,1111111,Pending with Business,Pending,,,2024-05-13 10:36:35.963,,,,
131,1596,ICICI Bank,2633_CR_0004,2633,CR,ww,,2w,,,2024-04-29 11:37:04.610,4,2024-04-29 11:37:04.610,2024-04-29,22222,Pending with Business,Pending,,,2024-05-13 10:36:35.963,,,,
132,1596,ICICI Bank,1417_CR_0037,1417,CR,test8,,8,,,2024-04-29 12:01:55.080,37,2024-04-29 12:01:55.080,2024-04-29,8,Pending with Business,Pending,,,2024-05-13 10:36:35.963,,,,
133,1596,ICICI Bank,1417_CR_0038,1417,CR,test8,,8,,,2024-04-29 12:03:58.033,38,2024-04-29 12:03:58.033,2024-04-29,8,Pending with Business,Pending,,,2024-05-13 10:36:35.963,,,,
134,1596,ICICI Bank,1417_NR_0014,1417,NR,test5,,5,,,2024-04-29 12:04:30.883,14,2024-04-29 12:04:30.883,2024-04-29,5,Pending with Business,Pending,,,2024-05-13 10:36:35.963,,,,
135,1596,ICICI Bank,1417_CR_0039,1417,CR,tesrt,,1,,,2024-04-29 12:08:22.230,39,2024-04-29 12:08:22.230,2024-04-29,1,Pending with Delivery,Pending,,,2024-05-13 10:36:35.963,,,,
136,1596,ICICI Bank,1417_CR_0040,1417,CR,test13,0,1,,,2024-04-29 12:09:13.410,40,2024-04-29 12:09:13.410,2024-04-29,1,Absorbed,In Progress,1634.0,,2024-05-13 10:36:35.963,,,,
137,1596,ICICI Bank,1417_CR_0041,1417,CR,test6,0,1,,,2024-04-29 12:10:09.267,41,2024-04-29 12:10:09.267,2024-04-29,1,Absorbed,In Progress,1634.0,,2024-05-13 10:36:35.963,,,,
138,1596,ICICI Bank,1417_CR_0042,1417,CR,test6,0,1,,,2024-04-29 12:10:16.170,42,2024-04-29 12:10:16.170,2024-04-29,1,Absorbed,In Progress,1634.0,,2024-05-13 10:36:35.963,,,,
139,1596,ICICI Bank,1417_CR_0043,1417,CR,test6,0,1,,,2024-04-29 12:10:19.700,43,2024-04-29 12:10:19.700,2024-04-29,1,Absorbed,In Progress,1634.0,,2024-05-13 10:36:35.963,,,,
140,1596,ICICI Bank,1417_CR_0044,1417,CR,test6,0,1,,,2024-04-29 12:10:25.950,44,2024-04-29 12:10:25.950,2024-04-29,1,Absorbed,Resume,1634.0,,2024-05-13 10:36:35.963,,,,
141,1596,ICICI Bank,1417_CR_0045,1417,CR,test9,,9,,,2024-04-29 12:13:57.017,45,2024-04-29 12:13:57.017,2024-04-29,9,Rejected,Pending,1634.0,,2024-05-13 10:36:35.963,,,,
142,1596,ICICI Bank,1417_CR_0046,1417,CR,test9,0,9,,,2024-04-29 12:15:23.617,46,2024-04-29 12:15:23.617,2024-04-29,9,Absorbed,In Progress,1634.0,,2024-05-13 10:36:35.963,,,,
143,1596,ICICI Bank,1417_CR_0047,1417,CR,test7,5,7,,,2024-04-29 12:15:57.743,47,2024-04-29 12:15:57.743,2024-04-29,7,Approved,In Progress,1634.0,,2024-05-13 10:36:35.963,,,,
144,1596,ICICI Bank,1417_CR_0048,1417,CR,1,5,1,,,2024-04-29 12:19:23.710,48,2024-04-29 12:19:23.710,2024-04-29,1,Approved,Pending,1634.0,,2024-05-13 10:36:35.963,,,,
145,1596,ICICI Bank,1417_CR_0049,1417,CR,test8,5,1,,,2024-04-29 12:21:02.107,49,2024-04-29 12:21:02.107,2024-04-29,1,Approved,On Hold,1634.0,,2024-05-13 10:36:35.963,,,,
146,1596,ICICI Bank,1417_CR_0050,1417,CR,test8,2,1,,,2024-04-29 12:21:51.723,50,2024-04-29 12:21:51.723,2024-04-29,1,Approved,Resume,1634.0,,2024-05-13 10:36:35.963,,,,
147,1596,ICICI Bank,1417_CR_0051,1417,CR,test5,1,5,,,2024-04-29 12:22:41.027,51,2024-04-29 12:22:41.027,2024-04-29,5,Approved,Pending,1634.0,,2024-05-13 10:36:35.963,,,,
148,1596,ICICI Bank,1417_CR_0052,1417,CR,test5,4,5,,,2024-04-29 12:23:12.737,52,2024-04-29 12:23:12.737,2024-04-29,5,Approved,Done,1634.0,yes,2024-05-13 10:36:35.963,,,,
180,1596,ICICI Lombard,2679_CR_0001,2679,CR,ee,,ccvc,,,2024-04-30 10:14:26.333,1,2024-04-30 10:14:26.333,2024-04-30,20,Pending with Business,Pending,,,2024-05-13 10:36:35.963,,,,
181,1596,ICICI Lombard,2679_CR_0002,2679,CR,ee,,ccvc,,,2024-04-30 10:14:43.310,2,2024-04-30 10:14:43.310,2024-04-30,20,Pending with Business,Pending,,,2024-05-13 10:36:35.963,,,,
182,1596,ICICI Lombard,2679_CR_0003,2679,CR,ee,0,ccvc,,,2024-04-30 10:14:56.140,3,2024-04-30 10:14:56.140,2024-04-30,20,Absorbed,In Progress,1634.0,,2024-08-21 11:14:31.977,,,,
